date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:40	1682/1682	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d4-3107%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/paypal.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/paypal.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:40	1751/1751	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d6-317b%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/skrill.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/skrill.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:40	2511/2511	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d4-35ba%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/master-card2.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/master-card2.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:40	2190/2190	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d9-33d0%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/visa2.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/visa2.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:41	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ff4acca-4d7%22	https://templates.hibootstrap.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:41	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f28f8b2-15d84%22	https://templates.hibootstrap.com/pento/default/assets/js/jquery-3.5.1.min.js	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/js/jquery-3.5.1.min.js	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:41	21257/21257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f28f8b3-5309%22	https://templates.hibootstrap.com/pento/default/assets/js/popper.min.js	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/js/popper.min.js	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:42	60174/60174	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f28f8b1-eb0e%22	https://templates.hibootstrap.com/pento/default/assets/js/bootstrap.min.js	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/js/bootstrap.min.js	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:42	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f28f8b2-4ef8%22	https://templates.hibootstrap.com/pento/default/assets/js/jquery.magnific-popup.min.js	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/js/jquery.magnific-popup.min.js	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:42	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f28f8b3-ad36%22	https://templates.hibootstrap.com/pento/default/assets/js/owl.carousel.min.js	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/js/owl.carousel.min.js	(from https://templates.hibootstrap.com/pento/default/index-3.html)
